"Title:","ACT Composite 25th Percentile Score from the Test Scores - Postsecondary Education Database"
"SubTitle:",""
"Time:","2006 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Center for Education Statistics (2022-09-30). Test Scores - Postsecondary Education: ACT Composite 25th Percentile Score, 2006 - 2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  017-022-007 doi:https://doi.org/10.6068/DP18482A5F6AF19"
"ColumnCount:",17
"RowCount:",2509

"All Institutions","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2009","2008","2007","2006"
"California Institute of Technology",35,35,35,34,34,34,34,33,33,33,33,33,32,
"University of Chicago",34,33,33,32,32,32,32,32,31,31,28,28,28,29
"Rice University",34,33,33,33,32,32,31,31,30,30,30,30,29,29
"Franklin W Olin College of Engineering",34,34,34,33,32,32,32,31,33,32,32,32,33,33
"Harvey Mudd College",34,33,34,33,32,32,33,32,33,32,32,,,
"Massachusetts Institute of Technology",34,34,34,33,33,33,33,33,32,32,32,31,31,30
"Johns Hopkins University",34,33,33,33,32,32,31,30,30,29,29,29,28,28
"Duke University",34,33,33,31,31,31,31,30,30,30,,29,29,29
"Columbia University in the City of New York",33,33,33,31,32,31,31,31,32,31,29,28,28,28
"Webb Institute",33,31,32,30,34,30,31,,,,,,,
"Harvard University",33,33,33,32,32,32,32,32,32,31,31,31,31,31
"University of Pennsylvania",33,33,32,32,32,31,31,30,30,30,30,30,29,29
"Northeastern University",33,32,32,32,31,31,31,30,29,28,27,26,25,
"Washington University in St Louis",33,33,32,32,32,32,32,32,32,32,32,31,30,30
"Carnegie Mellon University",33,33,33,32,31,31,30,30,29,29,29,29,28,28
"Vanderbilt University",33,33,33,32,32,32,32,32,32,31,30,30,29,28
"Brown University",33,33,32,31,31,31,30,29,29,29,29,28,28,27
"Yale University",33,33,33,32,32,31,31,32,31,32,30,30,29,29
"Northwestern University",33,33,33,32,32,31,31,31,31,31,30,30,29,29
"Hamilton College",32,32,31,31,31,,30,29,29,28,29,26,,
"Vassar College",32,31,31,30,30,30,30,30,29,30,29,29,29,29
"Cornell University",32,32,32,31,31,30,30,30,30,29,29,29,28,28
"Princeton University",32,33,32,31,32,32,31,31,31,31,31,31,30,30
"Haverford College",32,32,32,31,31,31,31,30,29,30,,,,
"Washington and Lee University",32,32,31,31,30,30,30,30,29,29,29,28,28,28
"Tufts University",32,32,31,31,31,30,30,30,30,30,,,30,29
"University of Notre Dame",32,32,33,32,32,32,32,32,31,32,31,31,31,31
"Amherst College",32,30,31,32,31,31,30,30,30,30,30,29,29,28
"Jewish Theological Seminary of America",32,30,30,29,28,28,27,30,29,29,30,27,29,29
"Dartmouth College",32,32,31,30,30,30,30,30,30,30,29,29,28,28
"Emory University",31,31,31,30,30,29,29,29,29,30,30,29,29,29
"Boston College",31,31,31,31,30,30,30,30,29,29,29,28,28,27
"Georgetown University",31,31,31,30,30,30,30,29,29,30,26,28,29,27
"Georgia Institute of Technology-Main Campus",31,29,31,30,30,30,30,28,28,27,27,27,27,25
"University of Michigan-Ann Arbor",31,31,30,30,29,29,29,28,28,29,27,27,27,27
"Stanford University",31,32,32,32,31,31,31,31,31,30,30,30,29,28
"Case Western Reserve University",31,30,30,30,30,30,29,29,29,28,28,26,26,26
"Colby College",31,31,31,31,30,29,28,28,29,28,28,28,28,27
"Brandeis University",31,30,29,29,29,29,29,28,28,28,29,28,27,28
"Claremont McKenna College",31,31,31,30,31,29,30,29,29,29,29,,27,29
"Stevens Institute of Technology",31,31,30,29,29,29,29,27,,,24,24,24,24
"Swarthmore College",31,31,31,31,30,30,29,31,30,30,30,28,27,28
"Barnard College",31,31,30,30,29,29,28,28,28,28,28,28,28,29
"Wellesley College",31,31,30,30,30,27,30,29,29,29,29,28,28,29
"Middlebury College",31,32,31,30,30,29,30,31,30,30,30,29,29,28
"New York University",31,30,29,29,29,29,28,28,28,29,27,28,28,27
"Cooper Union for the Advancement of Science and Art",30,30,31,28,,,30,29,29,29,29,27,29,29
"University of Richmond",30,30,30,29,29,29,29,28,28,28,26,26,27,26
"University of Rochester",30,30,30,29,,,,29,28,28,28,27,27,27
"Davidson College",30,30,29,30,28,29,28,29,29,29,28,28,28,27
"Connecticut College",30,30,30,,,,,,,,,25,25,26
"University of Maryland-College Park",30,29,29,29,29,,,,,,,,,
"Emory University-Oxford College",30,30,30,29,28,27,,,,,,,,
"University of Southern California",30,31,30,30,30,30,29,29,29,29,29,28,28,28
"University of Virginia-Main Campus",30,30,30,29,29,29,28,29,28,28,27,27,,26
"Villanova University",30,31,30,30,30,29,28,29,28,28,28,27,27,26
"University of California-Berkeley",30,31,31,30,31,30,29,27,27,27,25,25,23,24
"Carleton College",30,31,31,31,30,29,30,29,29,29,29,29,29,28
"Kenyon College",30,29,29,29,29,28,28,28,28,28,28,28,28,27
"Grinnell College",30,31,30,30,30,30,30,28,29,28,28,28,29,29
"Colgate University",30,31,31,31,30,30,29,30,30,30,29,29,29,28
"Tulane University of Louisiana",30,31,30,30,29,29,29,29,29,29,28,28,27,27
"Boston University",30,30,30,29,28,27,27,26,26,26,25,25,25,25
"William & Mary",30,30,30,29,28,28,29,28,28,28,27,27,27,27
"George Washington University",30,30,29,29,27,27,27,27,27,27,26,26,,
"College of the Holy Cross",29,28,,,,,,,,,,,,
"Whitman College",29,28,27,28,28,27,28,28,29,29,28,27,27,
"Furman University",29,28,28,26,,,,25,25,26,26,25,25,25
"Southern Methodist University",29,29,29,28,28,28,28,27,27,27,25,25,25,24
"University of Florida",29,28,27,28,27,27,26,26,26,24,25,25,25,24
"United States Air Force Academy",29,28,28,28,27,29,28,29,29,28,26,28,28,27
"Hillsdale College",29,29,29,28,28,27,,,,,,,,
"Binghamton University",29,29,28,28,28,27,27,27,27,26,26,25,25,23
"Scripps College",29,30,30,29,28,29,28,29,28,29,27,28,28,27
"Rensselaer Polytechnic Institute",29,28,29,28,28,28,27,27,26,26,25,24,25,25
"Lehigh University",29,29,29,29,29,29,28,28,28,28,,,,
"Macalester College",29,29,29,29,29,29,28,29,28,28,29,28,28,27
"University of Georgia",29,27,27,26,26,26,26,26,25,25,24,25,24,24
"Trinity University",28,29,27,27,27,27,27,26,26,26,27,27,27,26
"Union College",28,27,,,,,,28,,,,,,24
"United States Military Academy",28,25,27,23,26,26,26,27,25,25,25,26,25,25
"Colorado School of Mines",28,27,28,28,29,28,28,27,27,27,26,26,25,24
"United States Naval Academy",28,26,26,,,,,,,,,,,
"Denison University",28,27,28,28,28,,,27,27,27,27,25,28,26
"University of Miami",28,29,29,28,28,28,28,28,28,28,27,27,27,26
"Bucknell University",28,28,28,28,28,28,28,27,27,27,27,27,27,27
"University of California-San Diego",28,26,27,27,27,28,27,25,23,25,24,23,23,23
"University of Pittsburgh-Pittsburgh Campus",28,28,28,27,27,26,26,26,25,25,25,24,24,24
"University of North Carolina at Chapel Hill",28,28,29,28,28,28,28,28,27,27,28,26,25,25
"Wheaton College (Massachusetts)",28,,27,26,,,,,,,,,,
"Oberlin College",28,29,29,28,29,29,28,28,28,28,28,27,26,27
"Occidental College",28,28,28,27,28,28,27,27,28,27,28,27,,26
"St Lawrence University",28,26,27,26,,,,,,,,,,
"Rochester Institute of Technology",28,27,27,26,26,26,26,25,25,25,25,24,24,
"Santa Clara University",28,28,28,28,28,27,27,27,27,26,25,24,24,24
"University of California-Santa Barbara",28,27,27,28,27,26,26,24,24,24,23,23,22,22
"Lafayette College",28,28,27,28,27,27,27,27,27,26,26,26,25,24
"Fairfield University",27,26,,,,,,,,,23,23,23,
"Lewis & Clark College",27,27,,27,27,,,26,,27,27,27,26,26
"Loyola Marymount University",27,27,27,26,26,25,25,25,24,24,24,23,22,23
"University of Connecticut",27,26,26,26,26,26,26,25,26,25,24,24,23,23
"Southern California Institute of Architecture",27,,,,,24,20,19,21,,,,,22
"Mount Holyoke College",27,,29,29,,,,,,,,,,
"American University",27,27,27,26,26,26,26,26,26,26,26,25,25,25
"Clark University",27,,,,,,,,,,24,24,24,23
"Clemson University",27,27,27,27,26,27,26,26,25,26,25,25,24,24
